intervention,healthscore_pre,healthscore_post,age group,gender,exercise frequency,pre existing conditions,income group,vegetarian/vegan,cate_t
1,1.4094697809999999,0.400819355,Age 31-40,Male,1/week,Yes,Yes,No,0.481498658657074
1,3.754507845,1.4669578159999999,Age 21-30,Male,1/week,None,No,No,0.7823458909988403
1,-2.7759349839999996,-1.186178054,Age 31-40,Female,1/week,Yes,Yes,No,-0.16449224948883057
1,1.69325132,1.10145471,Age 41 and above,Female,1/week,None,No,No,0.46683013439178467
1,0.40067724200000004,0.396062431,Age 41 and above,Female,1/week,None,Yes,No,0.4105089604854584
1,1.361822069,0.570999716,Age 41 and above,Male,1/week,None,No,No,-0.4757811427116394
1,1.715346604,0.5202114720000001,Age 41 and above,Male,1/week,None,No,No,-0.1372065544128418
1,2.07991878,0.5314977479999999,Age 41 and above,Female,1/week,None,No,No,-0.43137139081954956
1,-0.5936105110000001,-0.004600384,Age 41 and above,Male,1/week,Yes,Yes,No,0.6185586452484131
1,-0.765375723,-1.461074316,Age 21-30,Male,1/week,Yes,Yes,Yes,0.3461322784423828
1,3.568257502,1.046248923,Age 31-40,Female,1/week,None,No,No,-0.08616042137145996
1,2.076821805,0.6819626059999999,Age 21-30,Female,1/week,Yes,No,No,0.5515478849411011
1,0.11343855800000001,-0.6197024520000001,Age 41 and above,Male,1/week,Yes,No,No,-0.2726106643676758
1,1.328679144,0.475066366,Age 41 and above,Male,1/week,None,No,No,0.020184814929962158
1,0.555344226,0.254983975,Age 41 and above,Male,1/week,None,Yes,No,0.5954223871231079
1,0.7542017759999999,-0.760780908,Age 41 and above,Female,1/week,Yes,No,No,-0.10140788555145264
1,-1.731517605,-1.483102603,Age 41 and above,Female,1/week,Yes,Yes,No,0.3122725486755371
1,0.875725835,0.063117274,Age 41 and above,Female,1/week,Yes,No,No,-0.01192551851272583
1,2.5218244469999997,0.249340836,Age 41 and above,Female,1/week,None,No,Yes,-1.119474172592163
1,-2.0739944980000002,-1.7144712709999999,Age 41 and above,Male,1/week,Yes,Yes,Yes,-0.03371119499206543
0,-1.9082798719999998,-1.65239675,Age 41 and above,Male,1/week,Yes,Yes,No,-0.04110550880432129
0,1.4649598369999999,-0.7702785320000001,Age 21-30,Male,1/week,None,Yes,No,1.910427451133728
0,0.32018583300000003,-1.092126568,Age 21-30,Female,1/week,Yes,Yes,No,0.5459717512130737
0,-1.199600345,-1.570973646,Age 21-30,Female,1/week,Yes,Yes,Yes,0.1931474208831787
0,-1.886184589,-1.432314359,Age 41 and above,Male,1/week,Yes,Yes,No,-0.2065739631652832
0,1.0129577509999999,-0.221830346,Age 31-40,Male,1/week,Yes,Yes,No,1.3103249073028564
0,-0.074563824,-1.296225322,Age 21-30,Female,1/week,Yes,Yes,No,0.7083848714828491
0,0.517560661,-1.453224364,Age 21-30,Male,1/week,None,No,No,1.6077797412872314
0,0.379398281,-1.43752446,Age 21-30,Male,1/week,Yes,Yes,No,1.274543285369873
0,2.096559287,-0.683929059,Age 21-30,Male,1/week,None,Yes,No,1.6006113290786743
0,1.140869236,-0.066674905,Age 41 and above,Female,1/week,Yes,Yes,No,0.8432988524436951
0,-1.864089305,-1.308165318,Age 41 and above,Male,1/week,Yes,Yes,No,-0.2486131191253662
0,-0.489050964,-1.578823598,Age 21-30,Female,1/week,Yes,Yes,Yes,1.3795127868652344
0,1.1688975940000002,-0.550479873,Age 21-30,Male,1/week,None,Yes,No,1.4010026454925537
0,1.8794469759999999,0.493563756,Age 21-30,Male,1/week,Yes,Yes,No,0.3775124251842499
0,0.45834821200000003,-1.319775179,Age 21-30,Female,1/week,Yes,Yes,No,0.9133496284484863
